year,month,day,tank,size,ration,mmSL,weight_g,fish_num
2016,12,30,1,large,2.5,109,8.42,1
2016,12,30,1,large,2.5,110,10.46,2
2016,12,30,1,large,2.5,112,12.06,3
2016,12,30,1,large,2.5,109,11.6,4
2016,12,30,1,large,2.5,112,11.66,5
2016,12,30,1,large,2.5,106,10.86,6
2016,12,30,1,large,2.5,109,11.23,7
2016,12,30,1,large,2.5,106,9.03,8
2016,12,30,1,large,2.5,104,9.4,9
2016,12,30,2,large,10,99,8.6,1
2016,12,30,2,large,10,101,8.56,2
2016,12,30,2,large,10,94,6.57,3
2016,12,30,2,large,10,95,7.99,4
2016,12,30,2,large,10,100,9.31,5
2016,12,30,2,large,10,97,8.42,6
2016,12,30,2,large,10,96,7.62,7
2016,12,30,2,large,10,93,5.78,8
2016,12,30,2,large,10,97,7.07,9
2016,12,30,3,small,0,76,3.7,1
2016,12,30,3,small,0,81,4.02,2
2016,12,30,3,small,0,80,3.6,3
2016,12,30,3,small,0,80,3.48,4
2016,12,30,3,small,0,77,3.07,5
2016,12,30,3,small,0,73,3.08,6
2016,12,30,3,small,0,79,4.93,7
2016,12,30,3,small,0,79,2.75,8
2016,12,30,3,small,0,70,2.49,9
2016,12,30,4,small,5,71,3,1
2016,12,30,4,small,5,75,2.45,2
2016,12,30,4,small,5,69,2.8,3
2016,12,30,4,small,5,68,2.67,4
2016,12,30,4,small,5,66,2.35,5
2016,12,30,4,small,5,69,2.2,6
2016,12,30,4,small,5,66,2.1,7
2016,12,30,4,small,5,70,2.95,8
2016,12,30,4,small,5,67,1.85,9
2016,12,30,5,large,5,101,9.3,1
2016,12,30,5,large,5,94,7.85,2
2016,12,30,5,large,5,93,7,3
2016,12,30,5,large,5,101,9.45,4
2016,12,30,5,large,5,91,6.02,5
2016,12,30,5,large,5,103,9.2,6
2016,12,30,5,large,5,92,7.77,7
2016,12,30,5,large,5,96,8.72,8
2016,12,30,5,large,5,99,8.1,9
2016,12,30,6,large,0,109,10.15,1
