"tank","size","ration"
1,"large",2.5
2,"large",10
3,"small",0
4,"small",5
5,"large",5
6,"large",0
7,"small",10
8,"small",2.5
9,"small",0
10,"large",10
11,"small",5
12,"small",2.5
13,"small",5
14,"small",10
15,"small",0
16,"small",2.5
17,"small",10
18,"large",0
19,"small",5
20,"large",2.5
21,"small",0
22,"small",10
23,"large",2.5
24,"small",5
25,"large",0
26,"small",5
27,"small",10
28,"small",2.5
29,"small",2.5
30,"small",10
31,"small",0
32,"large",5
33,"small",2.5
34,"large",5
35,"small",0
36,"large",10
