"year","month","day","time","tank","temperature"
2016,12,20,930,1,3.3
2016,12,20,1545,1,3
2016,12,20,930,2,2.7
2016,12,20,1545,2,2.8
2016,12,20,930,3,3
2016,12,20,1545,3,2.7
2016,12,20,930,4,2.9
2016,12,20,1545,4,2.7
2016,12,20,930,5,4
2016,12,20,1545,5,2.8
2016,12,20,930,6,3
2016,12,20,1545,6,2.8
2016,12,20,930,7,3.2
2016,12,20,1545,7,2.9
2016,12,20,930,8,3.3
2016,12,20,1545,8,3
2016,12,20,930,9,3.1
2016,12,20,1545,9,3
2016,12,20,930,10,3
2016,12,20,1545,10,2.8
2016,12,20,930,11,3
2016,12,20,1545,11,2.8
2016,12,20,930,12,3.1
2016,12,20,1545,12,2.7
2016,12,20,930,13,3
2016,12,20,1545,13,2.7
2016,12,20,930,14,3
2016,12,20,1545,14,2.7
2016,12,20,930,15,3.7
2016,12,20,1545,15,2.7
2016,12,20,930,16,3
2016,12,20,1545,16,3
2016,12,20,930,17,3
2016,12,20,1545,17,2.8
2016,12,20,930,18,2.9
2016,12,20,1545,18,2.8
2016,12,20,930,19,3.1
2016,12,20,1545,19,2.7
2016,12,20,930,20,3
2016,12,20,1545,20,2.7
2016,12,20,930,21,3.1
2016,12,20,1545,21,2.9
2016,12,20,930,22,3.1
2016,12,20,1545,22,2.9
2016,12,20,930,23,3.3
2016,12,20,1545,23,2.9
2016,12,20,930,24,3
2016,12,20,1545,24,2.9
2016,12,20,930,25,3
2016,12,20,1545,25,2.9
2016,12,20,930,26,3.1
2016,12,20,1545,26,2.9
2016,12,20,930,27,3.1
2016,12,20,1545,27,2.9
2016,12,20,930,28,3.1
2016,12,20,1545,28,2.9
2016,12,20,930,29,3.3
2016,12,20,1545,29,2.9
2016,12,20,930,30,3.4
2016,12,20,1545,30,2.9
2016,12,20,930,31,3.1
2016,12,20,1545,31,2.8
2016,12,20,930,32,3
2016,12,20,1545,32,2.8
2016,12,20,930,33,2.9
2016,12,20,1545,33,2.8
2016,12,20,930,34,2.9
2016,12,20,1545,34,2.8
2016,12,20,930,35,3
2016,12,20,1545,35,2.8
2016,12,20,930,36,2.9
2016,12,20,1545,36,2.8
2016,12,21,920,1,3
2016,12,21,1605,1,3
2016,12,21,920,2,2.9
2016,12,21,1605,2,2.9
2016,12,21,920,3,3
2016,12,21,1605,3,3
2016,12,21,920,4,3
2016,12,21,1605,4,3
2016,12,21,920,5,3
2016,12,21,1605,5,3
2016,12,21,920,6,3
2016,12,21,1605,6,2.9
2016,12,21,920,7,3.3
2016,12,21,1605,7,3.1
2016,12,21,920,8,3.5
2016,12,21,1605,8,2.9
2016,12,21,920,9,3
2016,12,21,1605,9,3
2016,12,21,920,10,3
2016,12,21,1605,10,3
2016,12,21,920,11,3.1
2016,12,21,1605,11,3
2016,12,21,920,12,2.8
2016,12,21,1605,12,2.8
2016,12,21,920,13,3
2016,12,21,1605,13,2.9
2016,12,21,920,14,3
2016,12,21,1605,14,2.9
2016,12,21,920,15,3
2016,12,21,1605,15,2.8
2016,12,21,920,16,3.1
2016,12,21,1605,16,3.1
2016,12,21,920,17,3
2016,12,21,1605,17,2.8
2016,12,21,920,18,3
2016,12,21,1605,18,2.8
2016,12,21,920,19,3.1
2016,12,21,1605,19,3
2016,12,21,920,20,2.9
2016,12,21,1605,20,2.8
2016,12,21,920,21,3.1
2016,12,21,1605,21,3
2016,12,21,920,22,3.3
2016,12,21,1605,22,3.1
2016,12,21,920,23,3.3
2016,12,21,1605,23,3.1
2016,12,21,920,24,3.2
2016,12,21,1605,24,3
2016,12,21,920,25,3.2
2016,12,21,1605,25,3
2016,12,21,920,26,3.3
2016,12,21,1605,26,3.2
2016,12,21,920,27,3.2
2016,12,21,1605,27,3.1
2016,12,21,920,28,3.4
2016,12,21,1605,28,3
2016,12,21,920,29,3.4
2016,12,21,1605,29,3.1
2016,12,21,920,30,2.9
2016,12,21,1605,30,2.8
2016,12,21,920,31,3.2
2016,12,21,1605,31,3
2016,12,21,920,32,3.1
2016,12,21,1605,32,2.9
2016,12,21,920,33,3
2016,12,21,1605,33,2.9
2016,12,21,920,34,3.1
2016,12,21,1605,34,3
2016,12,21,920,35,3.2
2016,12,21,1605,35,2.8
2016,12,21,920,36,3
