year,month,day,site,animal_id,sl,age,mark
2016,10,14,NB,NB_2.1,100,1,0
2016,10,14,NB,NB_2.2,111,1,0
2016,10,14,NB,NB_2.3,107,1,0
2016,10,14,NB,NB_2.4,119,1,0
2016,10,14,NB,NB_2.5,102,1,0
2016,10,14,NB,NB_2.6,86,1,0
2016,10,14,NB,NB_2.7,116,2,0
2016,10,14,NB,NB_2.8,92,1,0
2016,10,14,NB,NB_2.9,89,1,0
2016,10,14,NB,NB_2.10,87,1,0
2016,10,14,NB,NB_2.11,119,1,0
2016,10,14,NB,NB_2.12,104,1,0
2016,10,14,NB,NB_2.13,111,1,0
2016,10,14,NB,NB_2.14,113,1,0
2016,10,14,NB,NB_2.15,118,1,0
2016,10,14,NB,NB_2.16,129,2,0
2016,10,14,NB,NB_2.17,109,1,0
2016,10,14,NB,NB_2.18,107,1,0
2016,10,14,NB,NB_2.19,90,1,0
2016,10,14,NB,NB_2.20,106,1,0
2016,10,14,NB,NB_2.21,60,1,0
2016,10,14,NB,NB_2.22,75,1,0
2016,10,14,NB,NB_2.23,65,1,0
2016,10,14,NB,NB_2.24,80,1,0
2016,10,14,NB,NB_2.25,72,1,0
2016,10,14,NB,NB_2.26,79,1,0
2016,10,14,NB,NB_2.27,72,1,0
2016,10,14,NB,NB_2.28,74,1,0
2016,10,14,NB,NB_2.29,70,1,0
2016,10,14,NB,NB_2.30,84,1,0
2016,10,14,NB,NB_2.31,109,1,0
2016,10,14,NB,NB_2.32,130,1,0
2016,10,14,NB,NB_2.33,115,1,0
2016,10,14,NB,NB_2.34,121,1,0
2016,10,14,NB,NB_2.35,131,1,0
2016,10,14,NB,NB_2.36,99,1,0
2016,10,14,NB,NB_2.37,122,1,0
2016,10,14,NB,NB_2.38,124,1,0
2016,10,14,NB,NB_2.39,115,1,0
2016,10,14,NB,NB_2.40,121,1,0
2016,10,14,NB,NB_2.41,94,1,0
2016,10,14,NB,NB_2.42,79,1,0
2016,10,14,NB,NB_2.43,119,1,0
2016,10,14,NB,NB_2.44,113,1,0
2016,10,14,NB,NB_2.45,101,1,0
2016,10,14,NB,NB_2.46,121,1,0
2016,10,14,NB,NB_2.47,80,1,0
2016,10,14,NB,NB_2.48,104,1,0
2016,10,14,NB,NB_2.49,105,1,0
2016,10,14,NB,NB_2.50,94,1,0
2016,10,14,NB,NB_2.51,70,1,0
2016,10,14,NB,NB_2.52,60,1,0
2016,10,14,NB,NB_2.53,84,1,0
2016,10,14,NB,NB_2.54,76,1,0
2016,10,14,NB,NB_2.55,71,1,0
2016,10,14,NB,NB_2.56,79,1,0
2016,10,14,NB,NB_2.57,71,1,0
2016,10,14,NB,NB_2.58,79,1,0
2016,10,14,NB,NB_2.59,83,1,0
2016,10,14,NB,NB_2.60,64,1,0
2016,10,14,NB,NB_2.61,82,1,0
2016,10,14,NB,NB_2.62,87,1,0
2016,10,14,NB,NB_2.63,55,1,0
